#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=0:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=0 open_gop=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.76 aq:16.23 tex:93557 mv:37346 misc:6001 imb:3600 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:27.88 aq:19.16 tex:64252 mv:17678 misc:2846 imb:1094 pmb:636 smb:1870 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:27.88 aq:22.42 tex:40948 mv:16171 misc:2689 imb:323 pmb:1055 smb:2222 d:s ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:27.88 aq:23.62 tex:33878 mv:14856 misc:2562 imb:271 pmb:950 smb:2379 d:- ref:0 ;
in:6 out:4 type:P dur:2 cpbdur:2 q:27.66 aq:21.47 tex:66951 mv:17731 misc:2750 imb:1085 pmb:605 smb:1910 d:- ref:0 ;
in:4 out:5 type:B dur:2 cpbdur:2 q:27.80 aq:21.73 tex:41526 mv:17245 misc:2717 imb:326 pmb:1167 smb:2107 d:s ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:27.73 aq:23.38 tex:33760 mv:15446 misc:2466 imb:302 pmb:884 smb:2414 d:- ref:0 ;
in:8 out:7 type:P dur:2 cpbdur:2 q:27.46 aq:21.37 tex:71879 mv:18818 misc:2783 imb:1012 pmb:678 smb:1910 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:27.56 aq:23.22 tex:39223 mv:17500 misc:2629 imb:348 pmb:980 smb:2272 d:s ref:0 ;
in:10 out:9 type:P dur:2 cpbdur:2 q:27.37 aq:20.84 tex:75324 mv:19950 misc:2870 imb:1159 pmb:658 smb:1783 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:27.42 aq:22.97 tex:42771 mv:18863 misc:2622 imb:350 pmb:1025 smb:2225 d:s ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:27.28 aq:19.64 tex:75028 mv:19834 misc:2898 imb:1197 pmb:654 smb:1749 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:27.33 aq:22.32 tex:35165 mv:17814 misc:2725 imb:290 pmb:1116 smb:2194 d:s ref:0 ;
in:14 out:13 type:P dur:2 cpbdur:2 q:29.24 aq:23.54 tex:52774 mv:18810 misc:2864 imb:1177 pmb:580 smb:1843 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:28.26 aq:24.10 tex:35869 mv:17330 misc:2713 imb:376 pmb:1032 smb:2192 d:s ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:27.53 aq:20.29 tex:76678 mv:20710 misc:2980 imb:1299 pmb:642 smb:1659 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:28.39 aq:23.93 tex:33681 mv:16795 misc:2732 imb:355 pmb:1031 smb:2214 d:s ref:0 ;
in:18 out:17 type:P dur:2 cpbdur:2 q:27.29 aq:19.55 tex:73248 mv:20401 misc:2927 imb:1278 pmb:641 smb:1681 d:s ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:27.41 aq:22.08 tex:39750 mv:17921 misc:2873 imb:315 pmb:1177 smb:2108 d:s ref:0 ;
in:20 out:19 type:P dur:2 cpbdur:2 q:27.08 aq:18.58 tex:74187 mv:19293 misc:2832 imb:1226 pmb:587 smb:1787 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:27.18 aq:21.39 tex:36171 mv:16543 misc:2766 imb:277 pmb:1141 smb:2182 d:s ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:27.10 aq:20.39 tex:94040 mv:21600 misc:2848 imb:1333 pmb:578 smb:1689 d:s ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:27.09 aq:20.82 tex:63945 mv:20943 misc:2880 imb:522 pmb:1179 smb:1899 d:s ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:27.08 aq:21.18 tex:35424 mv:17191 misc:2721 imb:299 pmb:1115 smb:2186 d:s ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:27.10 aq:22.84 tex:42043 mv:19814 misc:2727 imb:386 pmb:1086 smb:2128 d:- ref:0 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:26.95 aq:20.27 tex:92088 mv:23278 misc:2994 imb:1404 pmb:734 smb:1462 d:s ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:27.03 aq:22.49 tex:49867 mv:20567 misc:2758 imb:368 pmb:1155 smb:2077 d:s ref:0 ;
in:28 out:27 type:P dur:2 cpbdur:2 q:27.10 aq:20.38 tex:91640 mv:23711 misc:3049 imb:1532 pmb:623 smb:1445 d:s ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:27.03 aq:22.07 tex:51201 mv:22502 misc:2977 imb:397 pmb:1330 smb:1873 d:s ref:0 ;
in:30 out:29 type:P dur:2 cpbdur:2 q:27.15 aq:20.61 tex:90842 mv:24002 misc:3084 imb:1574 pmb:578 smb:1448 d:s ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:27.13 aq:21.96 tex:50816 mv:24579 misc:3021 imb:489 pmb:1355 smb:1756 d:s ref:0 ;
in:32 out:31 type:P dur:2 cpbdur:2 q:27.18 aq:19.83 tex:86118 mv:23714 misc:3088 imb:1611 pmb:586 smb:1403 d:s ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:27.17 aq:22.00 tex:50878 mv:23517 misc:2965 imb:550 pmb:1263 smb:1787 d:s ref:0 ;
in:34 out:33 type:P dur:2 cpbdur:2 q:27.25 aq:20.97 tex:104966 mv:27755 misc:3199 imb:1997 pmb:553 smb:1050 d:s ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:27.22 aq:22.07 tex:62508 mv:26592 misc:3148 imb:682 pmb:1352 smb:1566 d:s ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:27.35 aq:21.15 tex:103004 mv:28247 misc:3285 imb:2144 pmb:479 smb:977 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:27.30 aq:22.14 tex:67076 mv:29607 misc:3245 imb:740 pmb:1435 smb:1425 d:s ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:27.48 aq:21.31 tex:100194 mv:28608 misc:3134 imb:1815 pmb:592 smb:1193 d:s ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:27.52 aq:21.68 tex:116138 mv:29999 misc:3191 imb:2080 pmb:531 smb:989 d:s ref:0 ;
in:40 out:39 type:P dur:2 cpbdur:2 q:27.74 aq:22.05 tex:129770 mv:32853 misc:3337 imb:2262 pmb:523 smb:815 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:27.63 aq:23.18 tex:82411 mv:35513 misc:3404 imb:999 pmb:1479 smb:1122 d:s ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:27.96 aq:22.41 tex:134207 mv:34499 misc:3358 imb:2128 pmb:711 smb:761 d:s ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:27.85 aq:23.67 tex:85837 mv:35579 misc:3336 imb:833 pmb:1605 smb:1162 d:s ref:0 ;
